Id,Autor,Titel,Jahr,Typ,Zeitschrift,Thema1,Cluster,Gamification,Abstraktion,Institution,Zugriff,Preis,Dokumentation,Zitationen
120,"Z. Cheng, X. Xiang, C. Hu",Teaching Research and Practice for Computer Composition and Structure Based on Network-on-Chip,2025,Conference Paper,International Conference on Big Data and Informatization Education,NoC,Prozessoren und Architekturen,0,1,1,1,0,0,0
121,"M. Lütke Dreimann, B. Friesel, O. Spinczyk",HetSim: A Simulator for Task-based Scheduling on Heterogeneous Hardware,2024,Conference Paper,International Conference on Performance Engineering,GPU,GPU,0,0,2,1,0,0,7
122,"J. Priker, A. Dengel, M. Holly, S. Safikani",Virtual Reality in Computer Science Education: A Systematic Review,2020,Conference Paper,ACM Symposium on Virtual Reality Software and Technology,VR,Systeme und Anwendungen,0,1,1,1,0,0,139
123,M. Hesson,Computer Simulator: An Educational Tool for Computer Architecture,2023,Journal Article,American Journal of Applied Sciences,Cache,Speicher und Performance,0,1,1,1,2,2,10
124,F. Tangorra,A Multi-Level Computer Architecture Simulator,1999,Journal Article,Systems Communications,Mikroprogrammierung,Prozessoren und Architekturen,0,1,1,1,2,0,0
125,M. Gusev,Simulators for courses in advance computer architecture,2005,Journal Article,Electronics and Energetics,Mikroprogrammierung,Prozessoren und Architekturen,0,1,1,3,0,0,1
126,"I. Branovic, R. Giorgi, E. Martinelli",WebMIPS: A New Web-Based MIPS Simulation Environment for Computer Architecture Education,2004,Conference Paper,Workshop on Computer Architecture Education,MIPS,Prozessoren und Architekturen,0,1,1,1,2,0,76
127,"M. Isabel Garcia, S. Rodriguer, A. Perez, A. Garcia",p88110: A Graphical Simulator for Computer Architecture and Organization Course,2009,Journal Article,IEEE Transactions on Education,RISC,Prozessoren und Architekturen,0,1,1,1,2,0,35
128,F. Tangorra,The role of the computer architecture simulator in the laboratory,1990,Journal Article,SSIGCSE Bulletin,Assembler,Programmierung,0,1,1,1,2,1,14
129,"W. Kurniawan, M. H. H. Ichsan",Teaching and learning support for computer architecture and organization courses design on computer engineering and computer science for undergraduate: A review,2017,Conference Paper,"International Conference on Electrical Engineering, Computer Science and Informatics",CPU,Prozessoren und Architekturen,0,1,1,1,0,0,17
130,"T. Stanley, V. Chetty, M. Styles, S. Jung, F. Duarte, T. J. Lee, M. Gunter, L. Fife",Teaching Computer Architecture Through Simulation (A Brief Evaluation of CPU Simulators),2012,Journal Article,Journal of Computing Sciences in Colleges,CPU,Prozessoren und Architekturen,0,1,1,1,0,0,17
131,"Y. Imai, I. Masatoshi, Y. Moritoh",Evaluation of Visual Computer Simulator for Computer Architecture,2013,Journal Article,International Association for Development of the Information Society ,Assembler,Programmierung,0,1,1,3,0,0,2
132,M. Besim,YASS: A System Simulator for Operationg System and Computer Architecture Teaching and Learning,2013,Journal Article,European Journal of Science and Mathematics Education,Grundkenntnisse,Grundlagen und Theorien,0,1,1,1,2,0,16
133,"T. Kurihara, J. F. Maxnuck Soares, L. T. M. Rainheitte",The Use of MARIE CPU Simulator in the Computer Architecture (CA) Course: An Exploratoy Analysis to Assess the Students' Percepton of Learning,2016,Journal Article,Journal of Literature and Art Studies,CPU,Prozessoren und Architekturen,0,1,1,1,0,0,1
134,R. N. Ibbett,Computer architecture visualisation techniques,1999,Journal Article,Microprocessors and Microsystems,Prozessor,Prozessoren und Architekturen,0,1,1,1,0,0,13
135,"M. Holland, J. Harris, S. Hauck",Harnessing FPGAs for computer architecture education,2003,Conference Paper,IEEE International Conference on Microelectronic Systems Education,FPGA,Hardware und Logik,0,1,1,1,1,0,46
136,"R. Hasan, S. Mahmood",Survey and Evaluation of Simulators Suitable for Teaching for Computer Architecture and Organization,2012,Conference Paper,UKACC International Conference on Control,MIPS,Prozessoren und Architekturen,0,1,1,1,0,0,25
137,"S. Rigo, M. Juliato, R. Azevedo, G. Araujo, P. Centoducatto",Teaching computer architecture using an architecture description language,2004,Conference Paper,Computer architecture education,HDL,Hardware und Logik,0,1,1,1,1,0,16
138,"W. Yurcik, J. Vila, L. Brumbaugh",An Interactive Web-Based Simulation of a General Computer Architecture,2000,Conference Paper,IEEE International Conference on Engineering and Computer Education,Assembler,Programmierung,0,1,1,0,2,0,26
139,"L. Ang, K. P. Kah",Simulator Building as a Problem-Based Learning Approach for Teaching Students in a Computer Architecture Course,2008,Journal Article,Journal of Educational Technology,Grundkenntnisse,Grundlagen und Theorien,0,1,1,1,0,1,1
140,"S. Ristov, M. Gusev, B. Atanasovski, N. Anchev",Using EDUCache simulator for the computer architecture and organization course,2013,Journal Article,International Journal of Engineering Pedagogy,Cache,Speicher und Performance,0,1,1,1,2,0,9
141,"A. M. DeNardo, A. S. Pyzdrowski",A study of the effectiveness of computer-based simulations in teaching computer architecture,2020,Book,Multimedia and Megachange,Grundkenntnisse,Grundlagen und Theorien,1,1,1,1,2,1,5
142,P. Bose,Use of architectural simulation tools in education,1995,Conference Paper,Computer Architecture Education,Cache,Speicher und Performance,0,1,1,1,0,0,1
143,"M. D. Theys, P. A. Troy",Lessons learned from teaching computer architecture to computer science students,2003,Conference Paper,Annual Frontiers in Education,MIPS,Prozessoren und Architekturen,1,1,1,2,2,2,11
144,E. Z. Bem. L. Petelczyc,MiniMIPS: A simulation project for the computer architecture laboratory,2003,Journal Article,ACM SIGCSE Bulleting,MIPS,Prozessoren und Architekturen,1,1,1,1,0,0,30
145,"R. N. Ibbet, F. Mallat",Computer architecture simulation applets for use in teaching,2003,Conference Paper,Annual Frontiers in Education Conference,Speicherhierarchie,Speicher und Performance,0,1,1,0,0,0,8
146,"Y. Imai, K. Kaneko, M. Nakagawa",A Web-based Visual Simulator with Communication Support and its Application to Computer Architecture Education,2007,Conference Paper,IEEE International Conference on Advanced Learning Technologies,Grundkenntnisse,Grundlagen und Theorien,1,1,1,1,0,0,6
147,K. M. Al-Aubidy,Teaching Computer Organization and Architecture Using Simulation and FPGA Applications,2007,Journal Article,Journal of Computer Science,FPGA,Hardware und Logik,0,1,1,1,1,0,13
148,M. Brorsson,MipsIt - A Simulation and Development Environment Using Animation for Computer Architecture Education,2002,Conference Paper,Computer architecture education,MIPS,Prozessoren und Architekturen,0,1,1,1,2,0,56
149,R. Giorgi,FREESS: An Educational Simulator of a RISC‑V‑Inspired Superscalar Processor Based on Tomasulo’s Algorithm,2025,Conference Paper,WCAE,RISC,Prozessoren und Architekturen,0,1,1,1,0,0,0
150,"R. Giorgi, G. Mariotti",WebRISC‑V: A 64‑bit RISC‑V Pipeline Simulator for Computer Architecture Classes,2025,Conference Paper,RISC-V Summit Europe,RISC,Prozessoren und Architekturen,0,1,1,0,0,0,0
151,"A. Mokhtari, D. Rawls, T. Huynh, J. Green, M. A. Salehi",E2C: A Visual Simulator to Reinforce Education of Heterogeneous Computing Systems,2023,Conference Paper,IEEE International Parallel and Distributed Processing Symposium Workshops,FPGA,Hardware und Logik,0,1,1,1,2,0,3
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,

